gbm133a,ModuleColor,K.WholeNetwork,K.Intra,K.Out,Gene.Symbol,LocusLink,Set55Coxpvalue,HazardRatio55,HRlowerCI55,HRupperCI55,HRSD55,Set65Coxpvalue,Set65HazardRatio,Set65HRlower95,Set65HRupper95,Set65HRsd,Set55_ORI_10219_10218,Set55_ORI_10735_10730,Set55_ORI_14605_14585,Set55_ORI_14607_14586,Set55_ORI_14609_14587,Set55_ORI_14617_14591,Set55_ORI_14623_14594,Set55_ORI_14629_14597,Set55_ORI_14631_14598,Set55_ORI_14633_14599,Set55_ORI_14635_14600,Set55_ORI_14639_14602,Set55_ORI_15426_15407,Set55_ORI_15428_15408,Set55_ORI_15430_15409,Set55_ORI_15432_15410,Set55_ORI_15434_15411,Set55_ORI_15438_15414,Set55_ORI_15440_15415,Set55_ORI_15442_15417,Set55_ORI_15444_15418,Set55_ORI_15446_15419,Set55_ORI_15448_15420,Set55_ORI_15450_15421,Set55_ORI_15452_15422,Set55_ORI_15454_15424,Set55_ORI_15456_15425,Set55_ORI_15479_15471,Set55_ORI_15662_15649,Set55_ORI_4368_4367,Set55_ORI_4378_4377,Set55_ORI_4388_4387,Set55_ORI_4770_4761,Set55_ORI_4772_4762,Set55_ORI_4774_4763,Set55_ORI_4776_4764,Set55_ORI_4778_4765,Set55_ORI_4780_4766,Set55_ORI_4782_4767,Set55_ORI_4784_4768,Set55_ORI_4786_4769,Set55_ORI_6922_6907,Set55_ORI_6924_6908,Set55_ORI_6926_6909,Set55_ORI_6928_6910,Set55_ORI_6930_6911,Set55_ORI_6932_6912,Set55_ORI_6934_6913,Set55_ORI_6936_6914,Set55_ORI_6938_6915,Set55_ORI_6940_6916,Set55_ORI_6944_6918,Set55_ORI_6946_6919,Set55_ORI_6948_6920,Set55_ORI_6950_6921,Set65_21484_21474,Set65_21486_21475,Set65_21488_21476,Set65_21490_21477,Set65_21492_21478,Set65_21494_21479,Set65_21496_21480,Set65_22566_22553,Set65_22567_22554,Set65_22568_22555,Set65_22569_22556,Set65_24016_24007,Set65_24017_24008,Set65_24018_24009,Set65_24019_24010,Set65_24022_24013,Set65_24024_24015,Set65_25733_25718,Set65_25734_25719,Set65_25735_25720,Set65_25736_25721,Set65_25737_25722,Set65_25738_25723,Set65_25739_25724,Set65_25741_25726,Set65_25742_25727,Set65_25743_25728,Set65_25744_25729,Set65_25746_25731,Set65_26327_26321,Set65_26328_26322,Set65_26329_26323,Set65_26330_26324,Set65_26331_26325,Set65_26332_26326,Set65_26340_26336,Set65_26341_26337,Set65_26342_26338,Set65_26343_26339,Set65_26490_26484,Set65_26491_26485,Set65_26493_26487,Set65_26495_26489,Set65_34086_34071,Set65_34088_34072,Set65_34092_34074,Set65_34098_34077,Set65_34100_34078,Set65_34102_34079,Set65_34106_34081,Set65_34108_34082,Set65_34110_34083,Set65_34705_34696,Set65_34711_34699,Set65_34715_34701,Set65_34717_34702,Set65_35449_35438,Set65_35455_35441,Set65_35457_35442,Set65_35459_35443,Set65_35461_35444,Set65_35463_35445,Set65_35465_35446,Set65_35467_35447,Set65_35469_35448
died,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1
SurvivalTimeDays,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1555,588,302,236,237,569,168,1089,293,265,223,224,85,224,90,98,43,126,53,188,279,389,625,663,95,325,654,148,355,7,112,153,302,185,506,182,418,56,420,96,71,186,286,1098,412,356,1841,64,1682,1625,1616,683,976,780,870,144,10,359,313,79,308,37,619,561,360,622,472,667,362,295,621,691,380,153,2807,553,49,837,140,54,920,843,414,338,123,203,181,73,211,172,506,181,728,728,586,599,360,141,1215,263,622,763,596,437,219,703,376,358,927,334,465,222,322,494,95,118,365,209,408,192
Age,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,44,37,37,61,36,44,20,50,35,44,46,28,54,35,20,53,38,41,49,45,75,70,78,65,56,64,50,65,36,75,56,63,66,54,58,43,76,42,54,82,50,82,39,54,64,33,69,40,41,24,61,40,42,47,59,69,56,58,69,54,86,39,56,56,55,54,60,64,49,63,45,69,76,51,41,55,48,29,21,33,23,36,56,59,42,42,57,62,40,33,46,38,39,40,43,56,70,55,77,70,56,47,61,46,44,59,46,46,46,46,81,68,47,71,59,54,85,43,49
Male1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0
1053_at,grey,33.08376892,10.3474719,22.73629702,RFC2,5982,0.92,1.05,0.6,1.83,0.285,0.326,1.48,0.89,2.45,0.258,104.858,363.35,132.808,130.64,217.043,104.984,113.733,234.901,262.255,192.011,190.517,270.551,291.57,173.13,108.141,152.198,120.544,207.303,370.824,267.961,264.142,225.567,224.732,277.656,203.503,358.065,265.069,130.625,369.319,216.269,444.958,288.353,54.1096,233.283,106.975,206.371,90.4155,155.374,93.7647,66.1657,120.524,232.04,108.695,260.837,638.418,308.329,207.277,267.972,139.751,257.819,108.545,529.94,184.583,281.514,200.685,191.009,299.901,192.09,291.286,342.747,216.415,131.193,85.6264,213.583,313.164,156.091,171.548,91.2131,171.472,351.638,79.5986,153.354,122.119,62.7262,128.112,106.193,195.28,87.141,208.616,200.889,85.3267,61.1587,170.377,64.2428,177.74,187.391,267.966,250.004,129.025,192.69,128.064,180.321,191.752,122.942,288.66,161.804,332.838,263.155,317.494,187.433,62.4834,262.292,406.545,153.686,166.292,199.038,136.896,210.06,361.071,276.71,156.861,174.15,351.73,486.338,238.816,242.069,181.809,306.155,165.816,121.896
1294_at,grey,13.21797691,7.08067751,6.137299403,UBE1L,7318,0.719,1.27,0.73,2.22,0.284,0.0755,0.819,0.491,1.37,0.262,420.593,444.52,566.406,532.014,421.062,352.803,529.789,495.837,439.953,541.656,512.191,403.295,525.997,576.736,531.873,509.47,589.714,497.532,662.388,507.858,669.585,591.479,561.359,616.549,620.708,683.236,589.308,617.657,601.302,589.956,538.004,550.272,393.267,415.612,641.043,517.976,471.393,631.237,413.181,352.286,430.364,547.397,400.543,527.603,444.835,487.089,484.329,650.674,655.936,636.865,438.481,431.646,549.525,496.612,611.788,325.239,330.836,352.335,327.69,361.124,354.911,341.42,422.499,288.54,389.973,396.67,412.457,349.546,434.758,213.526,366.881,408.574,487.817,430.967,472.776,759.815,548.103,530.088,366.811,351.457,384.17,343.638,353.627,373.964,569.726,375.709,432.602,566.625,365.134,433.01,332.166,309.606,320.445,318.478,288.985,385.703,357.83,332.225,832.553,422.605,734.508,641.776,560.963,568.182,539.623,516.024,515.192,525.03,681.763,663.835,659.718,522.738,535.536,565.464,541.293,476.128,653.665,523.275,599.562,580.496
1598_g_at,blue,26.60231385,23.34748088,3.254832969,GAS6,2621,0.219,0.985,0.564,1.72,0.285,0.941,1.16,0.696,1.94,0.261,680.069,600.211,1236.55,1855.93,780.951,659.817,609.503,565.149,768.455,697.18,551.178,369.765,580.573,909.753,875.107,519.268,863.728,732.26,987.067,769.739,908.97,649.667,785.933,652.433,784.924,1302.94,701.025,1949.67,491.157,644.07,595.322,687.149,949.786,538.624,732.689,677.586,870.429,777.345,444.814,749.386,626.263,627.563,688.808,731.185,470.775,540.34,799.597,867.236,778.358,809.697,355.927,457.015,882.692,588.29,960.52,603.829,503.496,581.241,564.846,471.881,569.83,529.036,594.623,387.898,863.393,500.895,1336.72,688.69,726.886,173.797,634.358,594.651,579.956,960.57,516.671,875.331,406.937,518.283,450.437,382.657,387.627,340.645,539.143,673.192,875.271,452.361,603.875,448.89,831.806,377.443,358.555,368.167,420.104,423.561,426.652,655.928,788.123,774.181,810.641,557.771,634.524,1053.49,612.116,716.703,563.104,721.772,689.4,936.84,521.004,717.28,1630.45,609.344,894.592,514.409,790.116,749.246,888.33,931.579,1184.41,583.827
200003_s_at,grey,36.40307413,12.01884656,24.38422756,RPL28,6158,0.78,0.946,0.543,1.65,0.283,0.623,1.37,0.818,2.3,0.263,3880.39,4734.37,4194.87,4372.58,4808.94,3079.35,3314.6,2806.43,4000.92,3367.9,4810.94,3858.55,3492.8,4487.68,3513.43,3825.45,3385.58,4555.4,5270.7,4719.66,4378.88,3440.97,4466.01,3688.2,3269.07,3195.83,4838.95,4473.02,4431.78,4293.56,4149.24,5354.11,3022.37,4181.21,3173.78,4803.27,4242.9,3349.52,2886.06,2591.06,3454.39,4033.38,3096.43,4400.95,3640.52,4397.84,4793.61,3373.8,3977.04,4411.69,2723.51,5418.45,4550.96,3517.9,5104.49,5546.91,5289.33,4906.08,4933.89,4463.18,5973.85,4619.56,1949.28,4877.14,4942.22,4895.29,5223.84,3072.27,3492.18,4342.66,3940.2,6258.71,4430.06,2940.1,3741.26,4456.34,2970.65,3519.39,3843.98,3800.04,4659.19,3564.43,3527.5,2863.44,5144.79,3377.77,3561.17,5538.92,3918.29,5104.29,3816.16,5159.63,3972.12,3065.74,2735.65,4796.33,5832.91,4969.76,4047.24,5011.3,3919.67,5071.16,5238.19,5210.02,4828.83,4865.42,4213.68,5536.82,6473.8,4875.24,5558.77,3937.52,5993.46,4727.35,4661.99,4939.65,4987.59,5822.92,5159.81,4912.94
200011_s_at,turquoise,118.1519037,102.3876797,15.76422408,ARF3,377,0.929,0.98,0.56,1.72,0.286,0.374,0.851,0.511,1.42,0.261,1932.66,1329.01,1099.73,1307.92,1431.07,1664.8,1133.49,1277.8,1446.8,1753.56,922.62,923.209,1360.99,1885.65,1476.63,830.178,1724.25,1165.07,740.232,1111.94,1033.85,1924.36,998.811,762.418,1661.56,1350.13,1349.99,1146.8,1254.28,1713.72,1186.62,970.325,2141.23,1033.79,1686.05,1155.66,1575.92,2101.73,1580.31,2852.56,2178.42,1383.55,2513.22,1093.65,1344.01,1222.19,1364.64,1391.29,1750.14,1627.85,1218.77,1104.11,1541.66,1150.89,1183.94,1570.38,1252.51,1162.35,1365.03,1352.18,1331.25,1464.21,1846.64,998.522,991.193,1013.52,1270.25,3145.91,1232.21,686.792,2605.79,1681.64,1320.83,2445.91,1332.47,1100.93,1742.6,1945.74,922.355,866.736,927.751,1157.38,489.171,2524.17,1211.74,914.768,1394.93,797.306,2030.62,701.533,1170.02,1185.13,1447.98,1616.92,1212.45,1278.95,881.875,1386.47,1614.32,1814.97,1591.81,1264.9,1009.08,1411.13,1083.67,1747.66,1516.36,1579,1109.03,1011.85,1096.3,1758.36,1066.24,1268.46,1055.28,1372.24,1212.49,1416.09,1069.42,1160.78
200024_at,turquoise,17.96124171,10.98912314,6.972118573,RPS5,6193,0.517,0.984,0.565,1.71,0.283,0.551,1.2,0.725,2,0.259,2528.71,4080.02,2913.62,2920.34,3426.76,2714.19,2930.22,2233.63,3393.55,2621.66,4000.93,2761.42,2576.64,2999.64,2363.5,3020.04,2065.12,3235.89,3562.4,3736.49,2475.81,2602.11,2997.98,2487.33,2169.47,2421.57,3314.74,2703.5,3241.48,3277.38,3369.9,3701.68,2585.57,3658.57,2339.29,3796.83,3025.05,2540.25,3327.14,2060.19,2945.09,2974.76,2137.69,3507.37,3021.04,3549.86,3635.85,3024.63,2916.69,3530.51,2444.29,3778.06,3180.23,2836.31,4089.62,4606.65,3832.57,3227.24,3095.26,3521.6,4545.07,2944.27,1454.43,3035.18,3416.93,3837.76,2851.67,1647.01,1566.13,2875.55,2175.07,3906.57,3474.53,2065.53,3709.24,2298.61,2325.14,2875.57,3397.36,3462.73,3955.04,2714.61,2641.4,1966.94,4466.46,3154.39,2909.19,4092.29,2963.69,3385.78,3762.48,4382.74,3010.76,2196.48,1730.66,3287.4,4437.84,4141.7,3091.83,4383.52,3304.52,3237.5,3511.6,4091.32,3479.29,4269.35,3224.64,4183.08,4090.63,3536.3,2784.08,2533.1,4339.82,3473.86,3344.46,3442.69,3438.36,4422.52,3071.59,3123.51
